anime_id;img;title;title_english;type;episodes;status;rating;rank;genre;A
bf76e7b1-b1af-4748-b260-9e9a6ee7dde0;12355;Ookami Kodomo no Ame to Yuki;Wolf Children;Movie;1.0;Finished Airing;PG - Children;34.0;Slice of Life, Fantasy;Jul 21 2012
dee00805-0158-49f8-936c-c43fb2f1dcec;5028;Major S5;;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;90.0;Comedy, Drama, Romance, Sports;Jan 10 2009 
f5be599e-ed62-4d1f-b993-95a4b0663076;9253;"Steins;Gate";"Steins;Gate";TV;24.0;Finished Airing;PG-13 - Teens 13 or older;5.0;Thriller, Sci-Fi;Apr 6 2011 
39169f83-48ec-4b93-b7ba-8b865cf856ff;11741;Fate/Zero 2nd Season;Fate/Zero Season 2;TV;12.0;Finished Airing;R - 17+ (violence & profanity);54.0;Action, Supernatural, Magic, Fantasy;Apr 8 2012 
1cbb805c-3b5c-420b-b4eb-906a5b3aab74;24701;Mushishi Zoku Shou 2nd Season;;TV;10.0;Finished Airing;PG-13 - Teens 13 or older;26.0;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Oct 19 2014 
05edf230-57b6-4f85-b617-d6c0089af629;31812;Kuroshitsuji Movie: Book of the Atlantic;Black Butler: Book of the Atlantic;Movie;1.0;Finished Airing;R - 17+ (violence & profanity);89.0;Action, Comedy, Historical, Demons, Supernatural, Fantasy;Jan 21 2017
f7948a4b-0709-4fd0-9251-1b7053a14fcd;21939;Mushishi Zoku Shou;MUSHI-SHI -Next Passage-;TV;10.0;Finished Airing;PG-13 - Teens 13 or older;33.0;Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen;Apr 5 2014 
48806f1b-4692-4c47-a0ff-883d80024531;33486;Boku no Hero Academia 2nd Season;My Hero Academia 2;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;35.0;Action, Comedy, Super Power, School, Shounen;Apr 1 2017 
6ff4dd50-a886-4091-8713-5707622450ca;28957;Mushishi Zoku Shou: Suzu no Shizuku;;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;47.0;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;May 16 2015
58b4444c-9aa6-4e29-80e6-aeb651d4e401;10162;Usagi Drop;Bunny Drop;TV;11.0;Finished Airing;PG-13 - Teens 13 or older;97.0;Josei, Slice of Life;Jul 8 2011 
6eeb7c36-153f-4438-9091-8688a86d60b8;9989;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;anohana: The Flower We Saw That Day;TV;11.0;Finished Airing;PG-13 - Teens 13 or older;81.0;Slice of Life, Supernatural, Drama;Apr 15 2011 
24f72204-e4b8-407d-bc6c-7340170e697f;777;Hellsing Ultimate;Hellsing Ultimate;OVA;10.0;Finished Airing;R - 17+ (violence & profanity);92.0;Action, Military, Horror, Supernatural, Vampire, Seinen;Feb 10 2006 
4df8b2e5-1176-499a-878b-47f5dc683464;34599;Made in Abyss;Made in Abyss;TV;13.0;Finished Airing;R - 17+ (violence & profanity);20.0;Sci-Fi, Adventure, Mystery, Drama, Fantasy;Jul 7 2017 
3d089cca-a57b-4720-96c1-40fcebe9d44a;32182;Mob Psycho 100;Mob Psycho 100;TV;12.0;Finished Airing;PG-13 - Teens 13 or older;100.0;Action, Slice of Life, Comedy, Supernatural;Jul 11 2016 
6cfa1909-bc74-48f5-85be-2d6a5fb1a8fb;170;Slam Dunk;Slam Dunk;TV;101.0;Finished Airing;PG-13 - Teens 13 or older;86.0;Comedy, Sports, Drama, School, Shounen;Oct 16 1993 
05966629-aabc-4306-aa4c-eae574ce257f;31758;Kizumonogatari III: Reiketsu-hen;;Movie;1.0;Finished Airing;R - 17+ (violence & profanity);23.0;Action, Mystery, Supernatural, Vampire;Jan 6 2017
3ce42723-e0d5-4379-9c81-b0a24fafac44;36949;Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen;;TV;0.0;Currently Airing;PG-13 - Teens 13 or older;74.0;Ecchi, School, Shounen;Apr 9 2018 
b2cb0c60-a4be-4bb3-bab3-eccb505a34fc;2103;Violet Evergarden;;TV;14.0;Finished Airing;PG-13 - Teens 13 or older;99.0;Drama,Fantasy;Jul 4 2018
